"","2218DP100","2218DP234","2218DP286","2218DP103","2218DP093","2226DP070","2226DP052","2226DP025","2226DP103","2226DP088","2226DP215","2218DP148","2226DP092","2226DP059","2218DP112","2226DP005","2226DP137","2226DP069","2226DP360","2226DP082","2226DP046","2226DP183","2226DP033","2226DP212","2226DP176","2226DP072","2218DP084","2218DP263","2226DP185","2226DP172","2226DP051","2226DP170","2226DP307","2218DP114","2218DP088","2218DP026","2218DP002","2218DP190","2218DP198","2218DP109","2218DP281","2218DP282","2218DP217","2218DP202","2218DP102","2218DP312","2218DP086","2218DP073","2218DP152"
"Solyc07g065020.3.1",15.303,18.861,19.1952,16.3212,17.8282,16.2729,13.9342,16.4057,15.2476,15.3699,10.2687,18.3077,15.8957,14.3584,23.9703,14.4242,15.8431,13.8698,14.2649,12.7248,11.8292,11.9876,13.8169,15.9563,13.8511,16.6908,13.0694,24.2624,20.2312,21.8409,20.6284,18.9745,19.6656,37.1903,26.9705,14.0793,49.8514,54.6862,52.4625,35.6264,26.8949,26.5434,34.7046,43.7827,31.6017,40.1396,20.2051,25.0598,18.1753
"Solyc07g065030.3.1",38.5622,40.4097,46.7008,59.0775,54.8132,30.6477,34.168,27.3704,31.8212,33.2914,33.9548,63.4409,41.4052,32.2523,68.1734,35.9295,32.4741,30.4419,29.099,34.8846,28.6742,42.2148,38.9179,43.2943,58.4997,55.2127,33.3486,58.2706,87.0669,76.7641,74.9561,76.318,77.4787,74.8298,67.641,30.7877,111.727,112.103,112.749,68.4055,54.4978,65.2969,60.4919,70.3778,68.2141,80.5055,44.7354,54.039,49.8122
"Solyc07g065050.4.1",47.6819,50.5141,52.4563,31.718,39.0682,46.1964,47.1366,43.0603,42.6743,43.2035,42.0878,27.5385,39.4017,41.5152,27.031,42.8295,52.7552,47.2287,58.7809,44.6833,49.3305,43.9794,40.4634,46.83,44.0784,39.8438,39.2723,30.6615,35.1018,31.5865,35.9992,47.9194,37.0958,30.3211,29.3828,41.0707,22.7533,22.5644,19.9389,37.1721,44.5828,28.5748,40.1559,29.2265,37.4473,28.9324,84.0159,62.0975,42.297
"Solyc07g065090.2.1",18.6403,22.4696,33.9787,18.1799,19.0347,16.9189,18.4349,19.0536,20.2968,17.0225,14.3347,14.2277,17.8418,18.9544,17.53,21.9279,28.6309,14.6408,24.1236,22.8655,15.3806,22.4223,19.9348,15.465,27.9442,23.7857,15.6983,19.1193,33.7816,22.8758,39.5854,23.9551,25.4501,15.0379,22.9633,16.1408,26.3689,17.0071,12.5001,43.3139,60.6909,40.305,57.6275,22.7725,47.2675,16.0683,82.6379,56.8895,20.8197
"Solyc07g065110.2.1",0.488898,43.9367,44.6744,13.7052,20.2687,3.40735,9.59583,14.6514,4.09514,0.729038,3.06721,12.0346,6.2718,7.62785,6.14224,1.58697,17.9977,1.82902,15.4261,1.61896,14.0992,3.70067,14.6515,5.39429,2.74712,3.12531,0,4.0642,2.35318,2.22958,2.82859,3.17843,2.72878,1.30043,8.40846,4.62316,0.847665,8.74054,3.63811,60.8976,92.3215,28.8149,95.2954,50.69,52.1105,97.4713,57.9818,63.9935,40.4603
"Solyc07g065120.3.1",54.9563,33.5411,25.8041,23.8725,27.4276,36.0406,46.7869,38.2116,38.1378,42.4577,20.9127,28.9544,38.3243,44.0052,26.9838,41.6896,38.9046,38.9458,47.2562,31.6292,35.2306,31.6148,31.805,31.4253,35.6069,28.5407,54.4799,24.587,41.3041,41.4989,37.6332,37.0766,37.8498,30.0548,27.9346,60.0532,44.5202,27.6333,38.6144,35.1557,33.3942,30.2587,38.3103,40.1718,32.0109,8.21166,39.764,50.1354,27.7604
"Solyc07g065170.3.1",78.2119,84.4038,87.9963,47.1766,43.5278,63.3967,71.3946,67.6227,67.6877,58.2538,64.2873,40.9989,54.3993,68.2139,51.4955,67.6086,84.8796,62.6239,101.519,45.8469,61.451,52.0455,59.0491,56.905,60.1659,62.2638,68.6615,40.2152,106.639,89.9608,86.2852,100.536,95.728,56.9356,71.8527,62.1591,93.7027,105.546,104.608,100.669,101.836,86.8103,117.084,104.764,68.9196,105.592,190.583,172.544,60.5936
"Solyc07g065200.3.1",56.321,63.6449,81.6881,45.1446,48.6594,52.4591,53.2938,42.4325,42.0547,45.9171,56.0352,81.2115,45.9306,47.6015,55.4867,47.2709,54.284,43.9783,83.5987,52.6644,63.8238,51.3357,47.0511,60.0126,51.0809,52.9117,52.4027,53.9664,64.9664,69.4413,71.2613,76.0445,96.0527,75.2546,66.9004,48.9967,76.09,66.0032,79.6847,72.6397,75.7306,69.4412,89.8955,72.9479,70.1299,77.0008,82.9385,86.2117,42.3074
"Solyc07g065270.1.1",18.7186,25.1831,30.1921,46.6911,47.0979,21.2413,20.5068,26.8015,23.3487,27.1177,19.6352,33.6858,29.9308,27.9661,41.4876,36.2229,25.9186,21.996,25.7677,32.412,25.6908,33.8618,38.6461,38.8058,55.2306,68.7787,28.2224,44.859,84.6238,75.4106,75.8325,71.739,87.7343,41.864,41.6317,32.9999,47.9194,46.0822,45.6499,37.921,35.9361,41.7198,38.4363,31.517,42.1026,21.9074,19.1941,27.7309,33.5532
"Solyc07g065275.1.1",74.4703,61.6472,80.5794,63.2009,59.8546,55.3388,62.8011,54.6849,64.6661,62.3884,60.3344,83.6791,61.8174,56.285,84.8083,73.3733,63.4103,64.73,61.7801,66.3757,56.1152,66.7648,50.0732,60.0382,69.6259,71.2506,54.1165,84.0458,99.3599,83.2169,82.3196,47.9159,81.051,94.451,94.9996,66.1655,141.945,123.194,118.357,89.2738,92.0214,107.481,87.5851,98.1772,71.4185,89.2734,74.1672,82.7098,64.5988
"Solyc07g065320.4.1",23.8294,25.2427,29.7927,24.2068,20.6957,19.713,20.3584,19.2737,22.6677,31.3749,8.26734,44.7895,28.6641,23.2871,41.858,30.748,10.9334,23.1345,15.1626,19.2397,16.0269,19.9592,21.9324,21.8688,25.9673,24.9391,22.0672,24.8213,38.1043,40.483,35.8519,34.5128,43.66,40.5278,30.5427,26.2705,37.7523,25.7489,33.6123,33.154,28.4889,31.8986,40.6174,54.6656,31.222,12.6748,15.9942,34.9135,27.0488
