"","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_13","cluster_14","cluster_15","cluster_16","cluster_17","cluster_18","cluster_19","cluster_20","cluster_21","cluster_22","cluster_23","cluster_24","cluster_25","cluster_26","cluster_27"
"2226DP070",4.80353424580259,-2.45798238720514,2.79228092774304,-0.957941885366055,0.730866806395393,-3.52754424881584,-1.02062300698737,-0.914003234092535,0.823240308902531,1.09545982561126,-0.787485799937334,2.41335249096171,0.456245432792205,0.546336687613815,0.216415352678056,0.796630379743783,1.2863746055098,-0.454801867669157,0.662084431102656,0.0644429262274829,-1.03390809028773,0.0603094416455993,1.5730622683258,-1.13388419555855,0.430615126119161,1.08896882589248,-1.55496768923289
"2226DP052",5.26604692564162,-2.12595952118694,3.21920537346014,-0.258177832726608,1.30354047625659,-4.79110311574498,1.35598035638498,-1.85108744005228,0.724027020008281,0.551746950223572,-0.727066518289242,1.14907602263074,0.447857930053924,0.343889510196635,-0.920971197249495,-0.727728454914235,0.436139903891654,-0.801360796746069,1.2127819518918,0.0657925163055454,-0.844967222107052,0.417245401569991,0.765684428171226,-1.137463529495,-0.271994933134367,1.17000098081827,-1.23169719719784
"2226DP025",4.17965483961398,-1.71482195268073,2.83359196704138,0.607507968608632,0.949687210626905,-4.28334542681002,1.33200565777601,-0.495596997864005,0.726197089571344,-0.0510216701294868,-0.149178644953554,2.74678594396531,0.455388871628049,0.209412097571273,-0.430389794012649,-0.546612462603159,1.67480830069485,-0.827063978254694,0.388671725048814,0.0595562588358254,-0.600215469043911,0.676956126684292,2.58169946305095,-1.19193779632524,-0.325737058665632,1.11092707553424,1.03683381716524
"2226DP103",2.26518761505989,-0.703018959539209,2.59987934941179,0.98847040746796,-0.00137500962600279,-2.96782250459343,1.40546051483198,-3.52781849195132,0.784024273411669,0.795578700947237,-0.734623585711724,3.95834178006055,0.452558263316468,1.46724335606228,1.51209803929067,2.35761489909297,1.4208156366493,-1.43548641629396,1.03520637595302,0.0631475910269305,-1.11271413495299,-0.0590578707788307,4.04306458566888,-0.114603389917133,1.64755911185645,-0.135653549164166,-2.07047686263123
"2226DP088",4.90611232668449,-3.20771340670192,2.39892615252948,3.1773689786773,0.884964856107576,-3.66948974758012,0.219166538610497,0.603270640812495,0.861282758686444,-1.30014472551049,-0.367511614346325,3.21133184401392,0.436570001256238,0.0730219494308655,-0.191737418914356,0.445563057324985,1.00639707511918,-0.61517454909102,-1.10123300421112,0.061599855952741,-0.682574537910548,0.693878538979307,2.03067336615327,-1.01796536331565,0.251654702369872,1.35295933774383,1.31349488224349
"2226DP215",5.53361135225434,-3.3714342504097,3.20361816897619,-0.5614197745959,-0.497496346554311,-2.94464935008477,-1.05088485189339,0.945573550982791,0.819620251883529,1.18393675705528,-0.470354398684912,4.39163501716765,0.438978073502269,1.27929682570059,0.539028133732768,2.2206312363945,0.184172341332673,-0.177351544423487,-2.25825397487118,0.0622097555166295,-0.731279374390254,-0.275110846281589,1.69811925101758,-1.82328166766938,-0.370815977223929,0.217634458238423,0.279195545360682
"2226DP092",0.33862665639419,-1.61753552167761,0.496962203701497,0.516768628460419,0.269951285891362,-2.96699429424093,-0.0554212007838392,-0.266934464185769,0.82151097383675,0.323073651918941,0.0864563250527332,0.00198601584608775,0.431093661959773,0.981732125027982,-1.30484782577852,-0.561061800389083,-0.750540047316264,0.878687548687462,1.05806823734082,0.0532473331116914,-0.123566801266086,1.21737915199448,1.16078585198629,-0.702293427643575,-0.482116252706364,1.17611649609307,0.664870007555676
"2226DP059",1.62130113181592,-0.996225618513181,1.57675011956185,0.155500018664874,-0.0858701946964676,-4.02039689305098,1.06404369330257,-1.24337800373278,0.755704854630831,1.03322902472035,-0.138549231611711,0.394761929358522,0.450102927777778,0.381183804909069,-0.360680607963385,-0.530741509204101,0.273965073881463,-0.186241080755773,0.795651598224465,0.0512913086300374,-0.278853437059831,1.79137872513778,2.20461907681206,-1.15764677347118,0.116544928794417,0.213465048968546,-0.973413777400371
"2226DP005",1.23433256079433,-2.49391167463459,0.602228297709127,2.58602099594627,0.328135258370544,-2.08685903709641,-0.0720402998049431,-0.754569658331391,0.836716254342018,-1.38267753503965,-0.93691409750131,2.4126974363123,0.446953139635002,-0.063844095262271,-0.297504647293405,0.040811660942345,0.536705461070886,-0.993888335224258,-3.26447336717682,0.0468894425908924,-0.511718546854223,0.826262594581631,1.70853024564537,-0.0795635277145236,-0.108928553596688,0.864258936877703,2.97330923680538
"2226DP137",-0.121523026837499,-0.612807415065635,0.304765082398057,0.217320324006434,-0.682768024949843,-2.64616368453846,-0.207426450357841,0.783308354490465,0.809564759911933,0.497497013778778,1.1445079757983,1.1558448570591,0.437763541302157,0.0873133432812581,-0.704332304193551,-0.449610372172451,-0.824059722677726,0.440816908844405,1.19429237130063,0.0328103671393189,0.328409692154433,-0.642809301883479,1.94677890432763,-0.99561803269696,-0.334450859576866,0.216349331279991,1.29099676601915
