"","feature","final_association"
"178","Solyc11g062410.3.1",0
"179","Solyc11g066060.4.1",0
"180","Solyc11g066100.2.1",0
"181","Solyc11g069000.2.1",0
"182","Solyc11g069790.2.1",0
"183","Solyc11g071830.2.1",0
"184","Solyc11g072710.3.1",0
"185","Solyc12g009020.2.1",0
"186","Solyc12g009570.3.1",0
"187","Solyc12g010130.1.1",0
"188","Solyc12g015880.2.1",0
"189","Solyc12g017460.1.1",0
"190","Solyc12g042060.3.1",0
"191","Solyc12g043110.2.1",0
"192","Solyc12g055720.2.1",0
"193","Solyc12g056850.2.1",0
"194","Solyc12g062870.2.1",0
"195","Solyc12g095830.3.1",0
"196","Solyc12g095860.2.1",0
"197","Solyc12g098820.2.1",0
"198","Solyc12g099790.3.1",0
